NumReplicas,NumAssets,NumSteps,N,Hilos,Tiempo_Medio_ms,Desviacion_ms
2,8,50,40000,1,632.1607908,6.1372239353
2,8,50,40000,3,228.5488252,5.60559078864
2,8,50,40000,6,143.7125328,4.38515672233
2,8,50,40000,9,138.3938128,7.72834225342
2,8,50,40000,12,120.7503328,3.40121324623
2,8,50,40000,16,102.5802632,1.05320283904
4,16,50,40000,1,1008.6977964,6.49419673266
4,16,50,40000,3,367.6272392,13.8663874025
4,16,50,40000,6,225.2049648,2.52956175493
4,16,50,40000,9,216.127398,7.77951476959
4,16,50,40000,12,188.658442,9.48748113114
4,16,50,40000,16,162.6608792,1.8182723938
8,32,50,30000,1,1346.8927564,7.62101469886
8,32,50,30000,3,488.8058104,13.1699808841
8,32,50,30000,6,305.651464,8.04897171949
8,32,50,30000,9,290.9185168,10.1158840919
8,32,50,30000,12,253.506642,10.0317972435
8,32,50,30000,16,220.3993364,1.6597509075
16,64,50,20000,1,1755.6498595,17.617567335
16,64,50,20000,3,633.9227965,12.7806502461
16,64,50,20000,6,390.804207,5.07933843334
16,64,50,20000,9,376.37976,15.7274136662
16,64,50,20000,12,327.751309,15.33131925
16,64,50,20000,16,284.5296925,2.85779188048
64,256,50,8000,1,3502.019728,21.7822419264
64,256,50,8000,3,1322.08894067,20.2585171964
64,256,50,8000,6,835.349668,7.28584587396
64,256,50,8000,9,758.169145333,23.979654887
64,256,50,8000,12,757.171597333,13.2155311589
64,256,50,8000,16,893.133638,21.9505045464
128,512,50,5000,1,5934.24222667,247.432707039
128,512,50,5000,3,2801.93685667,167.719948282
128,512,50,5000,6,2140.26857333,61.9723625725
128,512,50,5000,9,2793.2154075,41.8197536642
128,512,50,5000,12,3765.86611417,75.8118195507
128,512,50,5000,16,5650.52135083,85.0289657635
