Simulaciones,Mersenne_VaR95,Antithetic_VaR95,Sobol_VaR95
128,-11253.8,-9250.62,-8988.2
256,-9281.32,-9394.2,-9218.03
512,-9408.84,-9281.32,-9466.38
1024,-9387.97,-10103.6,-9466.38
2048,-9580.98,-9488.56,-9652.88
4096,-9528.14,-9965.97,-9652.88
8192,-9680.16,-9752.02,-9674.94
16384,-9898.5,-9848.38,-9694.21
32768,-9853.68,-9853.74,-9694.21
65536,-9805.31,-9792.84,-9698.58
131072,-9763.22,-9778.36,-9702.63
262144,-9727.26,-9744.86,-9708.95
524288,-9706.26,-9729.61,-9711.95
1048576,-9703.66,-9712.41,-9710.1
