Simulaciones,Mersenne_VaR95,Antithetic_VaR95,Sobol_VaR95
128,-6087.08,-6670.82,-7171.88
256,-7113.3,-7955.71,-7143.94
512,-7043.35,-7709.89,-7119.36
1024,-6629.43,-7846.26,-7143.94
2048,-6978.88,-7164.9,-7119.36
4096,-7160.97,-7308.12,-7194.59
8192,-7231.87,-7259.23,-7155.24
16384,-7230.22,-7263.37,-7146.13
32768,-7221.74,-7224.62,-7153.19
65536,-7200.96,-7180.12,-7156.69
131072,-7185.96,-7170.77,-7154.83
262144,-7172.01,-7162.87,-7153.41
524288,-7156.66,-7159.46,-7154.29
1048576,-7154.97,-7155.4,-7154.39
